Issue,Aliases/Keywords,Category,Common Causes,Natural/Home Remedies,Self-Care Tips,When to See a Doctor
Chapped or cracked lips (cheilitis),"dry lips, chapped lips, cracked lip corners",Dryness,"Cold/dry/windy weather, licking lips frequently, dehydration, breathing through the mouth","A plain, fragrance-free lip balm reapplied often; a thin layer of petroleum jelly at night; staying well hydrated",Avoid licking lips (saliva makes dryness worse); use a humidifier in dry indoor air; protect lips from wind and sun with an SPF lip balm,"Peeling or cracking doesn't improve after consistent care, or the corners of the mouth are persistently sore/cracked (can suggest a nutrient deficiency or infection)"
Cracked heels,"dry heels, heel fissures, cracked feet",Dryness,"Prolonged standing, dry skin, open-backed shoes, thickened callused skin","Soak feet in warm water for 10 minutes, then gently smooth thickened skin with a pumice stone; apply a thick foot cream or petroleum jelly and wear socks overnight","Moisturize feet daily, especially after bathing; avoid walking barefoot on hard, dry surfaces; choose well-fitted, closed-back shoes","Cracks are deep, bleeding, or painful to walk on, especially if you have diabetes or poor circulation"
"Keratosis pilaris (""chicken skin"")","rough bumps on arms, chicken skin, KP, goosebump skin",Texture,A buildup of keratin (skin protein) blocking hair follicles; genetics; tends to worsen with dry skin,"Regular moisturizing with a cream-based, fragrance-free moisturizer; gentle exfoliation 2-3 times a week (avoid harsh scrubbing)","Avoid tight, rough fabrics like wool; keep showers short and lukewarm rather than hot; be patient — it often fades with age","Bumps become very red, inflamed, or you want a professional opinion on treatment options"
Melasma (patchy facial darkening),"melasma, pregnancy mask, hormonal dark patches",Pigmentation,"Hormonal changes (pregnancy, birth control), sun exposure, genetics","Consistent, generous use of a broad-spectrum sunscreen (tinted mineral sunscreens with iron oxide block visible light in addition to UV)","Reapply sunscreen every two hours when outdoors; wear a wide-brimmed hat; avoid direct midday sun; be patient, as melasma can be slow to fade even with care",Patches are cosmetically distressing or spreading — a dermatologist can discuss additional options; also mention any new patches to a doctor if pregnant
Post-inflammatory hyperpigmentation (dark spots after acne/injury),"dark marks after pimples, acne scars discoloration, dark spots",Pigmentation,"Skin's healing response after acne, cuts, burns, or other injury/inflammation",Daily sunscreen to prevent the spots from darkening further; gentle skincare that avoids re-irritating the healing skin,"Avoid picking at acne or scabs, which worsens dark marks; be patient, since these marks often fade over months on their own","Marks are not fading after several months, or you want guidance on options to speed up fading"
Sun spots / age spots,"sunspots, age spots, liver spots, dark spots from sun",Pigmentation,Cumulative sun exposure over the years,Daily broad-spectrum sunscreen to prevent new spots and stop existing ones from darkening,Wear protective clothing and a hat outdoors; reapply sunscreen every two hours in the sun; check new or changing spots against a mole map periodically,"Any spot changes in size, shape, or color, becomes raised, bleeds, or doesn't heal — this needs prompt evaluation to rule out skin cancer"
Dark circles under the eyes,"under eye circles, dark under eyes, tired-looking eyes",Cosmetic/Fatigue,"Lack of sleep, genetics, thinning skin with age, allergies, dehydration",A cold compress (or chilled spoon/cucumber slices) held under the eyes for 5-10 minutes; cooled chamomile or green tea bags,"Prioritize consistent, adequate sleep; stay hydrated; elevate your head slightly while sleeping; manage seasonal allergies if they contribute","Sudden dark circles with swelling, pain, or vision changes, which should be checked promptly"
Puffy or swollen eyelids,"puffy eyes, eye bags, swollen eyelids",Fatigue/Fluid,"Fluid retention, lack of sleep, allergies, high salt intake, crying",A cold compress or chilled spoons over closed eyes for a few minutes,Sleep with your head slightly elevated; reduce salt intake; manage allergies if relevant,"Puffiness is sudden, one-sided, painful, or comes with redness or vision changes"
Mild acne / clogged pores,"pimples, breakouts, blackheads, whiteheads, clogged pores",Acne,"Clogged pores from oil and dead skin cells, hormones, some cosmetics","A gentle, oil-free cleanser used twice daily; oil-free, noncomedogenic moisturizer and makeup","Never pick or pop pimples, which can worsen inflammation and scarring; wash pillowcases regularly; avoid heavy, pore-clogging products; remove makeup before bed","Acne is painful, cystic, leaving scars, or not improving after weeks of a gentle, consistent routine"
"Body acne / back acne (""bacne"")","back acne, bacne, chest breakouts, body breakouts",Acne,"Sweat and friction from tight clothing/gym gear, clogged pores, hormones","Rinse off sweat promptly after exercise; a gentle, oil-free body wash","Shower soon after sweating; wear loose, breathable, moisture-wicking fabric for workouts; avoid heavy oils/lotions on acne-prone areas","Breakouts are widespread, painful, or leaving scars"
Razor burn / razor bumps,"razor burn, ingrown hair bumps, shaving irritation",Irritation,"Shaving against the grain, dull blades, dry shaving, tight-curling hair re-entering the skin","A cool, damp cloth on freshly shaved skin; a fragrance-free, alcohol-free aftershave balm or aloe vera gel","Shave with a sharp, clean blade in the direction of hair growth; soften skin with warm water and shaving cream first; avoid stretching skin taut while shaving","Bumps become infected (increasing redness, pus, pain) or scarring develops"
Ingrown hairs,"ingrown hair, hair bump, trapped hair",Irritation,"Hair curling back into the skin after shaving, waxing, or plucking, especially with curly hair",Warm compress to soften skin and help the hair release; gentle exfoliation to clear dead skin over the follicle,"Avoid picking or digging out the hair with tweezers/needles at home, which risks infection and scarring; consider growing hair out for a period to reduce recurrence","Signs of infection (redness, swelling, pus) or repeated ingrown hairs causing dark, raised scars"
Chafing (skin friction rash),"thigh chafing, skin rubbing rash, friction burn",Friction,"Skin rubbing against skin or clothing repeatedly, often during exercise or in hot weather",A cool compress on irritated skin; a fragrance-free healing balm once the skin is clean and dry,"Wear moisture-wicking, well-fitted clothing; apply an anti-chafe balm or powder to friction-prone areas before activity","The area is broken, bleeding, or shows signs of infection"
Stretch marks,"stretch marks, striae, skin stretching lines",Texture,"Rapid skin stretching (growth spurts, pregnancy, weight change) that stretches the deeper skin layer","Regular moisturizing with a rich cream may improve comfort and skin texture, though it won't fully prevent or erase marks",Keep skin well hydrated during periods of rapid growth or weight change; be aware most fade in color over time on their own,You want to discuss cosmetic options to reduce their appearance with a dermatologist
Windburn,"windburned skin, wind-chapped face, wind irritation",Weather-related,"Cold, dry wind stripping the skin's natural moisture barrier, often on the face","A thick, fragrance-free moisturizer or balm to repair the skin barrier; avoid hot water on the area, which worsens irritation","Cover exposed skin with a scarf in windy, cold weather; apply a protective barrier balm before going outside; use sunscreen even in cold weather","Skin is cracked, bleeding, or extremely painful"
Chilblains (cold-induced skin irritation),"chilblains, cold sores on fingers/toes (non-viral), cold-damaged skin",Weather-related,"Small blood vessels reacting abnormally to cold, then rapid rewarming, usually on fingers, toes, ears, or nose","Warm the area gradually (not with direct heat like a hot water bottle, which can worsen symptoms); keep the area dry","Dress warmly in layers, especially hands and feet, in cold weather; avoid rapid temperature changes; keep moving to maintain circulation","Skin breaks open, becomes very painful, or shows signs of infection"
"Dry, cracked hands","dry hands, cracked knuckles, hand dermatitis from washing",Dryness,"Frequent hand-washing or sanitizer use, cold weather, harsh soap",A thick hand cream or petroleum jelly applied right after washing; wearing cotton gloves over moisturized hands overnight,"Use a mild, fragrance-free soap; pat hands dry rather than rubbing; wear gloves for wet or cold-weather chores","Cracks are deep, bleeding, or painful, or a rash spreads up the wrists"
"Blisters (minor, friction-related)","foot blister, friction blister, shoe blister",Friction,"Repeated rubbing against skin, often from new or ill-fitting shoes","Leave small, unbroken blisters intact to heal naturally; if a blister has already burst, gently clean with mild soap and water and cover loosely",Cushion the area with a soft bandage or blister pad; break in new shoes gradually; wear moisture-wicking socks,"Signs of infection (increasing redness, warmth, pus, red streaking), or blisters from a burn/sunburn covering a large area"
Minor bruising,"bruise, black and blue mark, minor bump bruise",Injury,Small blood vessels breaking under the skin after a bump or knock,A cold compress or ice pack wrapped in cloth for the first 24-48 hours to reduce swelling; gentle elevation of the area,Rest the area if possible; avoid pressing on the bruise; bruises typically fade through color changes over 1-2 weeks,"Bruising is severe, unexplained, doesn't fade, or is accompanied by significant swelling or pain suggesting a deeper injury"
Peeling skin (after sun exposure or general),"skin peeling, flaking skin, shedding skin",Dryness/Sun damage,"Sunburn healing, very dry skin, over-exfoliation, harsh weather",Keep the area gently moisturized with a fragrance-free lotion; avoid picking or peeling skin manually,Let peeling skin shed naturally; avoid further sun exposure or harsh products until skin has recovered; use lukewarm (not hot) water,"Peeling covers a large area with pain, oozing, or fever, which needs medical attention"
Uneven skin tone,"blotchy skin, uneven complexion, patchy skin color",Pigmentation,"Sun exposure, leftover marks from acne/injury, dehydration, inconsistent skincare","Consistent, gentle skincare plus daily sunscreen tends to even tone out gradually over time","Avoid harsh scrubbing or frequent product switching, which can trigger more irritation and unevenness; stay hydrated","Patches are new, rapidly changing, or asymmetric — worth a dermatologist check"
Large or visible pores,"big pores, enlarged pores, visible pores",Texture,"Genetics, oil production, sun damage reducing skin elasticity, aging",A gentle exfoliating cleanse a couple of times a week to prevent pores from becoming clogged and appearing larger,Keep skin clean and moisturized (skipping moisturizer can increase oil production); use noncomedogenic products; wear daily sunscreen to preserve skin elasticity,"Pores are associated with painful cystic acne, which needs a dermatologist's input"
Rough or flaky patches (elbows/knees),"rough elbows, dry knees, flaky patches",Dryness/Texture,Thicker skin in these areas combined with general dryness and less natural oil,A thick balm or petroleum jelly-based moisturizer applied at night; gentle exfoliation with a soft cloth before moisturizing,"Moisturize these areas daily, not just when they feel dry; avoid harsh soaps directly on rough patches","Patches become scaly, silvery, or don't respond to consistent moisturizing, which could suggest an underlying skin condition"
Milia (tiny white bumps),"milk spots, tiny white bumps, milia under eyes",Texture,"Dead skin cells trapped just under the skin's surface, common around the eyes and cheeks","Gentle exfoliation as part of a normal routine may help prevent buildup, but milia often resolve on their own over weeks to months","Avoid squeezing or trying to extract them at home, which can cause scarring or infection; use noncomedogenic skincare","Milia are widespread, persistent for months, or you'd like them professionally extracted"
Excess sweating / body odor (mild),"sweaty skin, body odor, underarm sweat",Sweat-related,"Heat, exercise, stress, hormonal changes, certain foods",Wash sweat-prone areas daily with a gentle cleanser; a natural deodorant with baking soda or a mineral salt stone for mild odor control,"Wear breathable, natural fabrics; change out of sweaty clothing promptly; shave or trim underarm hair, which can reduce bacterial buildup and odor","Sweating is excessive, sudden in onset, one-sided, or disrupts daily life, which may need medical evaluation"
Mild hives (urticaria) self-care,"hives, welts, itchy raised bumps",Allergic reaction,"Allergic reaction, heat, stress, pressure on the skin, sometimes unknown triggers","An anti-itch lotion or a colloidal oatmeal bath soak; a cool, damp washcloth applied for 10-20 minutes","Avoid scratching, which can trigger more hives; keep fingernails short and clean; wear loose clothing","Hives come with swelling of the lips/tongue/throat, difficulty breathing, or dizziness — this is an emergency; also see a doctor if hives last more than a few days"
Itchy skin from mild eczema flare (self-care only),"eczema itch, atopic dermatitis itch, dry itchy patches",Irritation,"A flare of a known dry-skin tendency, often triggered by dry air, irritants, or stress",Colloidal oatmeal bath soak followed by moisturizer applied to slightly damp skin within a few minutes ('soak and seal'); cool compress for acute itching,"Moisturize at least twice daily even between flares; identify and avoid personal triggers (certain fabrics, soaps, stress); keep baths lukewarm and brief","The flare is widespread, weeping, crusted with yellow scale, or not improving with consistent home care — this needs a diagnosis and treatment plan, not just self-care"
Facial redness / flushing (non-diagnostic),"red face, flushed cheeks, facial redness",Redness,"Heat, spicy food, alcohol, sun exposure, skincare irritation, exercise","A cool compress to calm sudden flushing; simplifying skincare to fragrance-free, gentle products","Identify and moderate personal triggers (heat, spicy food, alcohol); use a mineral sunscreen; avoid harsh scrubs or hot water on the face","Redness is persistent, comes with visible blood vessels, bumps, or eye irritation — this pattern should be evaluated by a dermatologist rather than self-treated indefinitely"
Skin texture dimpling (cosmetic),"cellulite, dimpled skin, orange-peel skin texture",Cosmetic/Texture,Fat distribution beneath the skin interacting with connective tissue bands; very common and normal,"Regular moisturizing can improve how skin looks and feels, though it does not remove the underlying texture","Staying active and hydrated supports overall skin health; this is a normal variation in skin, not a medical problem","N/A — this is a cosmetic variation, not a medical concern, so there is no medical red flag to watch for"
Dull or tired-looking skin,"dull skin, lackluster skin, tired complexion",Cosmetic,"Dead skin cell buildup, dehydration, lack of sleep, poor circulation",Gentle exfoliation once or twice weekly; a hydrating serum or moisturizer with humectant ingredients,Stay hydrated; prioritize sleep; a short daily walk can improve circulation and complexion over time,"N/A for dullness alone, but mention any accompanying fatigue, weight change, or other symptoms to a doctor"
Nappy/diaper rash (adult skin folds),"diaper rash, nappy rash, incontinence-associated rash",Irritation,"Prolonged contact with moisture, urine, or stool against the skin","Gentle cleansing with plain water or a mild, fragrance-free cleanser; a barrier ointment (e.g. zinc oxide or petroleum jelly) applied after cleaning",Change soiled clothing/pads promptly; let the skin air-dry fully before applying a barrier product; avoid scented wipes,"The rash has open sores, bleeding, or looks infected (pus, spreading redness, fever)"
General skincare / how to build a simple routine,"skincare routine, basic skincare, skin care steps",General care,N/A — general prevention and maintenance question,"A simple daily routine: gentle cleanser, fragrance-free moisturizer, and broad-spectrum sunscreen (SPF 30+) every morning",Introduce new products one at a time; avoid over-exfoliating; check your skin regularly for any new or changing spots,"You notice a new mole or spot that is asymmetric, has an irregular border, uneven color, is larger than a pencil eraser, or is changing — get this checked promptly"
